,us_cpi,us_inflation,us_gdp,us_m2,eu_gdp,uk_cpi,uk_inflation,uk_gdp,uk_m2,jp_cpi,jp_inflation,jp_gdp,jp_m2,hk_cpi,hk_inflation,hk_gdp,au_cpi,au_inflation,au_gdp,au_m2
1999-12-24,76.391102265249,2.18802719697358,9631174489000.0,6496459000000.0,7936107808460.76,80.5159977806547,1.7529508005142,1693458987218.9,932914000000.0,103.366973989437,-0.341296928327554,4635982224063.88,1210357000000000.0,99.5659129154526,-4.00943396226445,165768095391.557,71.2018761536123,1.48313946657267,390347787943.351,431311080600.0
1999-12-27,76.391102265249,2.18802719697358,9631174489000.0,6496459000000.0,7936107808460.76,80.5159977806547,1.7529508005142,1693458987218.9,932914000000.0,103.366973989437,-0.341296928327554,4635982224063.88,1210357000000000.0,99.5659129154526,-4.00943396226445,165768095391.557,71.2018761536123,1.48313946657267,390347787943.351,431311080600.0
1999-12-28,76.391102265249,2.18802719697358,9631174489000.0,6496459000000.0,7936107808460.76,80.5159977806547,1.7529508005142,1693458987218.9,932914000000.0,103.366973989437,-0.341296928327554,4635982224063.88,1210357000000000.0,99.5659129154526,-4.00943396226445,165768095391.557,71.2018761536123,1.48313946657267,390347787943.351,431311080600.0
1999-12-29,76.391102265249,2.18802719697358,9631174489000.0,6496459000000.0,7936107808460.76,80.5159977806547,1.7529508005142,1693458987218.9,932914000000.0,103.366973989437,-0.341296928327554,4635982224063.88,1210357000000000.0,99.5659129154526,-4.00943396226445,165768095391.557,71.2018761536123,1.48313946657267,390347787943.351,431311080600.0
1999-12-30,76.391102265249,2.18802719697358,9631174489000.0,6496459000000.0,7936107808460.76,80.5159977806547,1.7529508005142,1693458987218.9,932914000000.0,103.366973989437,-0.341296928327554,4635982224063.88,1210357000000000.0,99.5659129154526,-4.00943396226445,165768095391.557,71.2018761536123,1.48313946657267,390347787943.351,431311080600.0
1999-12-31,76.391102265249,2.18802719697358,9631174489000.0,6496459000000.0,7936107808460.76,80.5159977806547,1.7529508005142,1693458987218.9,932914000000.0,103.366973989437,-0.341296928327554,4635982224063.88,1210357000000000.0,99.5659129154526,-4.00943396226445,165768095391.557,71.2018761536123,1.48313946657267,390347787943.351,431311080600.0
2000-01-03,78.9707207568715,3.37685727149929,10250947997000.0,7023352000000.0,7288481048952.25,81.4684668022933,1.18295624210408,1671597821152.97,1036128000000.0,102.667615077547,-0.676578683595175,4968359075956.59,1226522100000000.0,95.8964075254482,-3.68550368550369,171668891194.349,74.3756549681352,4.45743705920869,416901962163.479,447441725000.0
2000-01-04,78.9707207568715,3.37685727149929,10250947997000.0,7023352000000.0,7288481048952.25,81.4684668022933,1.18295624210408,1671597821152.97,1036128000000.0,102.667615077547,-0.676578683595175,4968359075956.59,1226522100000000.0,95.8964075254482,-3.68550368550369,171668891194.349,74.3756549681352,4.45743705920869,416901962163.479,447441725000.0
2000-01-05,78.9707207568715,3.37685727149929,10250947997000.0,7023352000000.0,7288481048952.25,81.4684668022933,1.18295624210408,1671597821152.97,1036128000000.0,102.667615077547,-0.676578683595175,4968359075956.59,1226522100000000.0,95.8964075254482,-3.68550368550369,171668891194.349,74.3756549681352,4.45743705920869,416901962163.479,447441725000.0
2000-01-06,78.9707207568715,3.37685727149929,10250947997000.0,7023352000000.0,7288481048952.25,81.4684668022933,1.18295624210408,1671597821152.97,1036128000000.0,102.667615077547,-0.676578683595175,4968359075956.59,1226522100000000.0,95.8964075254482,-3.68550368550369,171668891194.349,74.3756549681352,4.45743705920869,416901962163.479,447441725000.0
2000-01-07,78.9707207568715,3.37685727149929,10250947997000.0,7023352000000.0,7288481048952.25,81.4684668022933,1.18295624210408,1671597821152.97,1036128000000.0,102.667615077547,-0.676578683595175,4968359075956.59,1226522100000000.0,95.8964075254482,-3.68550368550369,171668891194.349,74.3756549681352,4.45743705920869,416901962163.479,447441725000.0
